# radon cc — 4237 functions/methods; grade distribution {'A': 2460, 'B': 1011, 'C': 561, 'D': 118, 'E': 45, 'F': 42}
# CC grade len file:line name
185 F  901 routes/v2/explore_ideal_text.py:1975 _tracked_changes_block
 33 E   81 services/voice_album.py:174 refresh_voice_album
 33 E  100 services/tutor_video_url.py:123 resolve_tutor_video_playable_url
 33 E   65 services/feedback_repository.py:66 _document_evidence
 33 E   97 services/db.py:44 _session_preview_row
 33 E   58 services/confident_voice_practice.py:498 comparison_for_attempt
 32 E   61 services/slide_word_split.py:126 _snap_boundaries_to_pauses
 32 E   97 services/slide_alignment.py:342 compute_piece_slide_scores
 32 E  150 services/pipeline_jobs.py:793 run_processing_job
 32 E   51 services/mlc3_general_service_readiness.py:88 _valid_emergency_disable
 32 E  140 services/db.py:11031 persist_auto_ideal_text
 32 E  140 services/db.py:11031 DatabaseService.persist_auto_ideal_text
 32 E  152 routes/internal_webhooks.py:225 internal_copilot_video_retrain
 31 E  204 services/reference_video_upload_worker.py:78 run_reference_video_upload
 31 E   65 services/recording_roots.py:20 project_recording_roots
 31 E  242 services/moment_suggestions.py:749 generate_for_session
 31 E   67 services/mlc3_founder_canary_readiness.py:196 validate_r2_smoke_manifest
 31 E  140 services/life_engine.py:708 compare_to_strategy
 31 E  179 routes/v2/coaching.py:454 v2_coaching_turn
 31 E   84 routes/v2/coach.py:1186 _save_coach_snippet_lanes
 30 D  145 services/transcript_document.py:448 relocate_pieces
 30 D   74 services/life_panel.py:585 validate_item_input
 30 D   76 services/ideal_decision_ledger.py:217 record_star_decision
 30 D  125 routes/v2/user_sessions.py:703 v2_user_put_transcript_edit
 30 D   96 routes/v2/user_sessions.py:1181 v2_user_list_trainings
 30 D  132 routes/journal.py:676 journal_image_generate
 29 D   73 services/slide_alignment.py:441 compute_slide_scores
 29 D  172 services/session_cadence.py:159 _render_beat
 29 D   69 services/life_engine.py:1419 rank_goals_by_expected_value
 29 D  110 services/db.py:12366 set_ideal_text_part_lock
 29 D  110 services/db.py:12366 DatabaseService.set_ideal_text_part_lock
 29 D   97 services/data_purge.py:309 _storage_targets
 29 D   97 services/data_purge.py:309 DataPurgeOrchestrator._storage_targets
 29 D  152 services/annotation_export.py:92 run_annotation_export
 29 D  158 routes/v2/coaching.py:1583 v2_chat_snippet_followup
 28 D  203 services/session_metrics.py:254 compute_session_global_metrics
 28 D  145 services/master_document.py:206 assemble_master_document
 28 D  194 services/llm.py:64 chat_complete
 28 D   41 services/ideal_text_quality_gate.py:17 validate_composed_text
 28 D  100 services/drift_job.py:138 run_weekly
 28 D   77 services/db.py:2352 v2_upsert_student_coaching_memory
 28 D  173 services/db.py:15570 record_dimension_evaluations
 28 D   77 services/db.py:2352 DatabaseService.v2_upsert_student_coaching_memory
 28 D  173 services/db.py:15570 DatabaseService.record_dimension_evaluations
 28 D   68 services/confident_voice_practice.py:209 exercise_eligibility
 28 D   49 routes/v2/explore_ideal_text.py:1924 _with_evidence_coordinates
 28 D  138 routes/v2/coach.py:1593 v2_coach_session_recut
 28 D   73 routes/life_routes.py:1259 life_day_update
 27 D   83 services/prior_take_changes.py:178 build_prior_take_changes
 27 D   70 services/ideal_text_variants.py:313 block_variants_payload
 27 D   82 services/dimension_registry.py:517 validate
 27 D  240 services/db.py:7738 record_snippet_publish_annotations
 27 D  240 services/db.py:7738 DatabaseService.record_snippet_publish_annotations
 27 D  105 services/best_presentation.py:655 _finalize_best_presentation
 27 D  172 routes/v2/explore_ideal_text.py:545 v2_explore_get_ideal_text_enrichment
 27 D   78 routes/v2/admin.py:1545 _validate_question_pool_body
 26 D  102 services/snippet_transcription.py:40 transcribe_snippet_bytes
 26 D   73 services/openai_service.py:85 _build_coach_insight_fallback
 26 D  126 services/mlc3_general_service_monitor.py:46 assess_general_service_monitor
 26 D   78 services/mlc2_confidence.py:197 _validate_candidate
 26 D   87 services/life_import.py:834 sanitize_confirmed_item
 26 D   81 services/life_import.py:465 plan_strategy
 26 D  100 services/dataset_releases.py:119 build_dataset_release_manifest
 26 D  105 services/confidence_labels.py:121 mixed_label_queue
 26 D  135 services/coaching_intro.py:42 generate_intro_line
 26 D   77 routes/v2/explore_ideal_text.py:393 _ideal_text_pieces
 26 D   51 routes/journal.py:234 journal_admin_save_diagnostic_exercise
 25 D  103 services/pipeline_health.py:82 queue_health
 25 D   73 services/next_session_icebreaker.py:415 _build_user_prompt
 25 D   40 services/mlc2_confidence_blind.py:45 validate_blind_packet
 25 D   78 services/master_document.py:485 decide_block
 25 D  103 services/manager_engine.py:487 arm_rows
 25 D   41 services/life_engine.py:1653 swap_one_thing
 25 D  147 services/db.py:15349 upsert_state_rating
 25 D   70 services/db.py:4666 create_admin_uploaded_reference_video
 25 D  147 services/db.py:15349 DatabaseService.upsert_state_rating
 25 D   70 services/db.py:4666 DatabaseService.create_admin_uploaded_reference_video
 25 D   41 services/coach_guidance_delivery.py:90 parse_attachment_request
 25 D  147 services/baseline_summary.py:58 compute_baseline_summary
 25 D   79 routes/v2/explore_ideal_text.py:1255 v2_explore_decide_prior_take
 25 D  221 routes/v2/admin.py:713 v2_admin_get_session
 24 D  132 services/training_import.py:446 run_training_import_analysis
 24 D  103 services/tier_checkout.py:64 create_tier_checkout_session
 24 D   94 services/swap_detector.py:178 offer_for_take
 24 D   86 services/slide_word_split.py:653 chunk_words_by_chars
 24 D   85 services/openai_service.py:777 generate_coach_insight
 24 D   85 services/openai_service.py:777 OpenAIService.generate_coach_insight
 24 D  110 services/mlc2_confidence_readiness.py:53 assess_confidence_canary_readiness
 24 D  228 services/lab_recording.py:261 _process_lab_recording_impl
 24 D   65 services/db.py:12844 upsert_arc_part_acoustics
 24 D   48 services/db.py:11235 claim_ideal_text_feedback_set
 24 D   65 services/db.py:12844 DatabaseService.upsert_arc_part_acoustics
 24 D   48 services/db.py:11235 DatabaseService.claim_ideal_text_feedback_set
 24 D  101 routes/v2/explore_ideal_text.py:1611 v2_explore_save_ideal_text
 24 D   88 routes/v2/explore_ideal_text.py:1340 v2_explore_decide_block
 24 D   60 routes/v2/arcs.py:856 _take_key_moments
 24 D   81 routes/journal.py:477 journal_community_generate
 23 D  120 services/snippet_truncation.py:123 extract_snippets_from_pcm
 23 D   79 services/pipeline_jobs.py:705 _run_ideal_text_retry
 23 D   64 services/part_acoustics.py:320 _with_metrics
 23 D  102 services/mlc2_confidence.py:278 ConfidenceSamplingFrame
 23 D  139 services/life_chat.py:142 handle_note
 23 D   48 services/feedback_repository.py:166 surfaced_items
 23 D   48 services/feedback_repository.py:166 FeedbackRepository.surfaced_items
 23 D   81 services/drift_monitor.py:154 p_chart
 23 D   55 services/confidence_labels.py:306 corpus_summary
 23 D  142 routes/v2/coach.py:2804 v2_coach_training_import
 23 D  145 routes/v2/coach.py:2624 v2_coach_put_star_verdict
 22 D   56 services/take_feedback_policy_v3.py:217 _clip_lineage
 22 D   78 services/rate_windows.py:111 _aggregate
 22 D   93 services/mlc2_confidence.py:287 as_dict
 22 D   93 services/mlc2_confidence.py:287 ConfidenceSamplingFrame.as_dict
 22 D   42 services/life_import.py:590 apply_plan
 22 D   53 services/db.py:2207 v2_list_charisma_snippets
 22 D   59 services/db.py:143 _sessions_with_schema_fallback
 22 D   53 services/db.py:2207 DatabaseService.v2_list_charisma_snippets
 22 D   41 services/confident_voice_practice.py:110 _word_features
 22 D   34 services/coach_comment_drafter.py:157 _build_take_comparison
 22 D   56 routes/v2/user_sessions.py:1658 _practice_user_payload
 22 D   58 routes/v2/explore_ideal_text.py:96 _confidence_review_status_map
 22 D   99 routes/v2/coach.py:1736 v2_coach_session_video
 22 D   68 routes/v2/coach.py:3710 v2_coach_ab_pairs
 21 D   87 services/take_feedback_manager.py:273 ensure_required_families
 21 D   54 services/slide_word_split.py:479 restore_punctuation
 21 D   85 services/session_metrics.py:167 _windowed_rate_rows
 21 D   58 services/moment_suggestions.py:169 generate_moment_suggestion
 21 D   79 services/moment_suggestions.py:564 _classify_acoustic_candidate
 21 D  181 services/master_doc_rag.py:979 answer_question
 21 D   50 services/ideal_text_read.py:194 resolve_live_text
 21 D   96 services/ideal_text_core_snapshot.py:193 build_snapshot
 21 D   56 services/founder_confidence_comparison.py:44 build_founder_comparison
 21 D   95 services/email_service.py:23 send_lesson_complete_to_admin
 21 D   95 services/email_service.py:23 EmailService.send_lesson_complete_to_admin
